Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default,Loan_annual
56,85994,50587,520,80,4,15.23,36,0.44,0,0,0,1,1,4,1,0,16862
69,50432,124440,458,15,1,4.81,60,0.68,2,0,1,0,0,4,1,0,24888
46,84208,129188,451,26,3,21.17,24,0.31,2,3,0,1,1,0,0,1,64594
32,31713,44799,743,0,3,7.07,24,0.23,1,0,1,0,0,1,0,0,22399
60,20437,9139,633,8,4,6.51,48,0.73,0,3,0,0,1,0,0,0,2284
25,90298,90448,720,18,2,22.72,24,0.1,1,3,2,1,0,1,1,1,45224
38,111188,177025,429,80,1,19.11,12,0.16,0,3,2,1,0,3,1,0,177025
56,126802,155511,531,67,4,8.15,60,0.43,3,0,1,0,0,3,1,0,31102
36,42053,92357,827,83,1,23.94,48,0.2,0,2,0,1,0,2,0,1,23089
40,132784,228510,480,114,4,9.09,48,0.33,1,2,1,1,0,4,1,0,57127
28,140466,163781,652,94,2,9.08,48,0.23,1,3,1,0,0,2,0,0,40945
28,149227,139759,375,56,3,5.84,36,0.8,3,0,0,0,0,2,1,1,46586
41,23265,63527,829,87,4,9.73,60,0.45,2,0,0,1,0,0,1,0,12705
53,117550,95744,395,112,4,3.58,24,0.73,1,3,2,0,0,0,1,0,47872
57,139699,88143,635,112,4,5.63,48,0.2,2,1,0,0,0,3,0,0,22035
41,74064,230883,432,31,2,5.0,60,0.89,2,3,1,1,0,0,0,0,46176
20,119704,25697,313,49,1,9.63,24,0.28,3,3,2,1,0,3,0,0,12848
39,33015,10889,811,106,2,13.56,60,0.66,2,2,2,1,0,4,0,0,2177
19,40718,78515,319,119,2,14.0,24,0.17,0,2,0,1,0,2,0,1,39257
41,123419,161146,376,65,4,16.96,60,0.39,1,2,2,1,0,4,1,0,32229
61,30142,133714,429,96,1,15.58,12,0.65,3,1,0,0,1,1,0,0,133714
47,146113,100621,419,55,1,9.32,12,0.38,0,3,1,1,1,1,0,0,100621
55,132058,130912,583,48,4,5.82,60,0.47,1,3,1,0,1,1,1,0,26182
19,118989,123300,528,73,3,15.29,36,0.22,3,1,2,1,0,1,1,1,41100
38,56848,168918,468,73,1,19.1,24,0.22,0,3,2,0,0,2,0,0,84459
50,81649,78193,839,110,1,21.41,48,0.5,2,1,1,1,0,1,1,0,19548
29,114651,197648,343,58,3,21.07,24,0.19,0,1,1,1,0,3,1,0,98824
39,17633,167105,514,62,3,7.86,36,0.66,1,0,2,1,1,0,1,1,55701
61,62519,29676,462,16,1,23.91,48,0.12,0,3,0,1,0,3,1,0,7419
42,141412,197764,580,57,2,10.18,12,0.19,0,0,1,0,0,2,0,0,197764
66,39568,58945,604,37,4,6.67,12,0.1,1,3,0,1,1,0,1,0,58945
44,100284,225403,551,31,1,18.77,36,0.17,2,3,0,0,1,1,1,1,75134
59,102292,55337,840,6,1,16.11,60,0.44,2,3,1,1,0,0,0,0,11067
45,85673,48773,787,103,4,22.42,24,0.82,3,0,0,0,0,2,1,0,24386
33,92448,66282,607,39,1,11.31,12,0.43,0,1,0,1,0,3,1,0,66282
32,102178,179279,669,51,2,14.98,12,0.78,2,2,2,1,0,3,1,0,179279
64,102463,218433,506,24,2,9.23,60,0.86,2,3,1,0,0,0,1,0,43686
68,85409,44772,540,105,1,2.96,36,0.17,2,3,0,0,0,0,0,0,14924
61,26470,19818,695,47,2,20.0,36,0.69,3,3,0,1,1,0,1,0,6606
69,87295,16281,707,94,1,13.82,60,0.75,0,1,2,0,0,4,0,0,3256
20,139321,43049,458,117,2,7.16,36,0.53,2,2,2,1,0,3,0,1,14349
54,21487,84115,386,32,2,20.89,60,0.78,3,3,1,1,1,1,1,0,16823
68,111716,215851,747,99,3,18.84,60,0.4,1,3,0,0,1,3,0,0,43170
24,105732,33013,400,58,3,15.64,36,0.48,1,0,1,1,1,0,1,0,11004
38,73117,221628,639,84,4,13.05,36,0.56,0,1,1,0,1,3,1,0,73876
26,125268,67671,795,72,3,11.42,12,0.3,1,2,2,0,0,1,0,0,67671
56,24796,37657,498,88,1,8.2,48,0.73,1,1,1,1,1,0,0,0,9414
35,95963,77552,560,8,2,6.63,24,0.86,2,2,0,1,1,3,0,1,38776
21,16170,66883,505,27,1,4.41,48,0.42,3,2,2,0,1,2,0,0,16720
42,143244,240591,393,96,3,23.15,36,0.16,1,2,1,0,1,1,0,0,80197
31,103515,220032,369,57,2,22.36,24,0.81,3,3,0,0,0,2,1,1,110016
67,100949,145906,439,36,2,3.74,48,0.58,0,3,1,0,0,0,1,0,36476
26,92153,214064,634,33,3,2.34,24,0.32,3,0,1,0,1,2,0,0,107032
43,70113,215064,657,0,2,6.0,24,0.76,0,2,2,0,1,3,1,0,107532
19,24611,41605,417,59,3,15.11,48,0.59,0,3,2,0,1,1,0,0,10401
37,37173,234059,455,20,3,15.12,48,0.74,3,0,1,0,1,4,0,0,58514
